month,Ads friction,App stability & updates,Calendar integration,Ease of use,General positive,General task/app praise,Habit tracking,Premium / paywall friction,Reminders & notifications,Sync & login issues,Task management,Widget issues
2015-02,0,0,0,1,0,0,0,0,0,0,0,0
2015-03,0,1,0,0,0,0,0,0,0,0,0,0
2015-05,0,1,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,1,1,0,0,0
2015-08,0,0,1,0,0,0,0,0,0,0,0,0
2015-09,0,1,1,0,0,2,0,0,0,2,0,0
2015-10,0,2,1,0,0,0,0,1,0,0,0,1
2015-11,0,0,0,0,0,0,0,0,1,1,0,0
2015-12,0,1,1,1,0,0,0,0,0,1,1,0
2016-01,0,1,5,0,0,1,0,0,1,0,0,1
2016-02,1,1,2,0,0,0,0,0,1,1,1,1
2016-03,0,4,10,8,3,4,2,0,4,3,1,1
2016-04,0,3,6,12,0,4,3,2,0,5,2,2
2016-05,1,4,5,1,1,0,1,1,3,2,1,3
2016-06,1,1,3,2,1,0,1,0,1,1,1,2
2016-07,0,1,4,4,1,3,1,2,4,0,0,0
2016-08,0,2,2,1,2,1,4,1,2,3,2,0
2016-09,1,4,5,4,1,0,0,2,3,4,1,1
2016-10,0,2,5,2,0,2,0,0,3,10,0,2
2016-11,0,0,2,1,1,0,0,2,0,4,2,0
2016-12,1,2,1,0,0,1,2,1,2,6,1,0
2017-01,0,1,2,2,0,0,0,1,1,2,1,0
2017-02,0,3,3,0,1,1,0,3,2,3,3,0
2017-03,0,4,4,2,0,2,0,0,5,2,1,0
2017-04,0,0,3,1,0,3,0,0,2,2,1,3
2017-05,0,1,2,1,0,4,1,2,1,2,1,1
2017-06,0,1,6,2,0,1,0,3,1,5,0,1
2017-07,0,5,3,4,0,4,0,1,1,0,3,0
2017-08,0,3,5,7,1,0,1,2,1,5,1,2
2017-09,0,7,2,3,2,3,2,3,3,4,2,4
2017-10,0,4,5,4,2,8,1,1,2,5,2,2
2017-11,0,9,3,9,2,1,0,2,4,5,4,2
2017-12,0,8,4,1,0,6,1,0,0,2,2,1
2018-01,1,5,7,13,1,6,0,3,2,6,3,1
2018-02,1,6,5,1,1,3,0,2,0,5,1,0
2018-03,0,5,10,3,1,2,1,8,3,13,2,2
2018-04,1,4,1,3,0,3,1,3,4,5,1,1
2018-05,0,7,2,6,2,2,0,3,3,7,4,0
2018-06,0,6,3,5,0,4,0,7,1,1,3,0
2018-07,0,2,4,3,0,2,1,4,1,8,5,1
2018-08,0,3,3,6,1,2,2,3,6,7,3,2
2018-09,1,6,9,3,1,5,4,6,4,10,4,1
2018-10,1,7,6,10,2,3,1,7,6,14,8,1
2018-11,2,14,11,7,0,2,1,6,7,11,7,5
2018-12,4,4,14,6,4,5,1,8,8,9,6,1
2019-01,0,13,14,13,2,8,5,8,11,16,12,1
2019-02,1,16,14,15,2,9,5,14,10,8,3,2
2019-03,3,13,12,11,6,11,6,8,10,21,11,4
2019-04,3,13,11,8,3,8,6,9,9,17,5,7
2019-05,0,14,17,23,2,20,9,11,9,16,9,5
2019-06,1,15,21,19,10,21,9,9,17,15,9,4
2019-07,2,27,21,18,11,18,8,8,11,15,12,3
2019-08,1,19,24,20,6,19,7,8,10,20,14,3
2019-09,1,18,17,25,9,12,6,6,16,11,13,6
2019-10,0,24,17,14,4,20,9,10,23,27,12,8
2019-11,2,24,21,26,5,15,13,26,29,32,23,9
2019-12,2,21,26,17,3,23,11,21,21,42,18,12
2020-01,5,33,24,31,14,42,18,44,21,40,19,18
2020-02,73,38,48,25,10,38,19,33,21,42,18,9
2020-03,26,31,31,39,11,27,14,21,28,21,24,19
2020-04,13,42,46,49,27,50,21,44,51,37,40,29
2020-05,17,52,63,83,29,65,45,38,62,35,56,20
2020-06,22,39,50,97,49,124,57,54,55,58,55,39
2020-07,12,78,68,118,74,116,88,48,74,66,60,21
2020-08,15,89,74,155,110,156,80,71,94,95,64,21
2020-09,25,148,96,220,148,207,98,95,84,107,98,37
2020-10,23,240,143,448,345,368,202,145,135,134,176,64
