keyword,review_count,share_of_reviews,avg_polarity,avg_subjectivity
update,582,0.046954417103670834,-0.27147766323024053,
feature,464,0.03743444937474788,-0.04956896551724138,
ads,279,0.022509076240419524,-0.45698924731182794,
subscription,210,0.016942315449778138,-0.3238095238095238,
design,121,0.009762000806776926,0.05371900826446281,
bug,119,0.009600645421540944,-0.15546218487394958,
login,88,0.007099636950383219,-0.6704545454545454,
payment,63,0.0050826946349334405,-0.48412698412698413,
slow,58,0.004679306171843485,-0.1896551724137931,
battery,52,0.0041952400161355385,-0.23076923076923078,
crash,27,0.0021782977006857603,-0.35185185185185186,
privacy,17,0.0013715207745058492,-0.4411764705882353,
