cluster,share_early,share_recent,growth_rate,neg_share,trend_score
Task management,0.044551846278188985,0.0766631312753164,0.0321,0.476,0.01528
Premium / paywall friction,0.06123516296150568,0.08072258991468936,0.0195,0.698,0.01361
General task/app praise,0.04467068878833585,0.11542405842138882,0.0708,0.135,0.00955
Ads friction,0.015326904553247266,0.027083554165779587,0.0118,0.741,0.00872
Habit tracking,0.027703498547488315,0.059165863595789486,0.0315,0.125,0.00393
General positive,0.020986441095136747,0.053702659502055765,0.0327,0.098,0.0032
Ease of use,0.12082410343279909,0.12512317039958792,0.0043,0.26,0.00112
Reminders & notifications,0.10392685248823356,0.09194683703573354,-0.012,0.559,0.0
App stability & updates,0.18288448905456578,0.10927564121942229,-0.0736,0.61,0.0
Sync & login issues,0.14066634558961924,0.11255079443847603,-0.0281,0.765,0.0
Calendar integration,0.19626595342707878,0.11177809808726176,-0.0845,0.44,0.0
Widget issues,0.040957713783800746,0.03656360194449908,-0.0044,0.407,0.0
