review_text,sentiment,cluster12,cluster_label,x,y
"I'm considering uninstalling this previously wonderful app: since the last update, the widget has gone completely unresponsive...",Neutral,11,Widget issues,11.604301,6.8414116
"Used to be awesome, now I can't sync, log out or save changes made to habits. The quotes is stuck on same one. I have changed passwords, uninstalled and reinstalled, emailed your company and all but deleted app as it no longer keeps record. Please resolve .",Negative,9,Sync & login issues,9.970144,5.85196
"Redesigned dialogs are broken: 1) ""Import day from"" dialog on routine edit screen – no ""Monday"" & ""Tuesday"" in the day list (spinner) 2) ""+ Notification"" dialog on routine edit screen – no ""Play voice"" checkbox (Please tell me if there's a better way to report bugs like this)",Negative,9,Sync & login issues,15.141795,6.5691004
Need more habit columns for free,Negative,5,Habit tracking,15.575021,3.5691075
The app is what you expect.,Neutral,2,General positive,11.533742,2.492527
"Don't pay for pro! I paid for the pro, changed phones and it removed my pro status and wants me to pay again!",Negative,1,Premium / paywall friction,9.1174965,4.4072766
I don't like this app because...no protecting from this app..,Negative,7,App stability & updates,11.058612,3.1576579
I love the design and the app in general. I would give it 5 stars if it would allow to size the image and the information displayed.,Neutral,2,General positive,12.162716,3.6982396
Used to love this app and originally gave it 5 stars. It has stopped sinking with my phone for about 6 or more months but functioned perfectly on my phone. However for the last couple of weeks my appointment reminders only function occassionally. I've gone through the settings on both devices and cant find anything wrong. I have reinstalled the app several times but nothing helps. I can no longer reccomend this app.,Negative,4,Reminders & notifications,13.159266,7.4509053
"I really like many of the function, especially since they are easy to use. Now if I may say, I would like to see a more elaborate calendar set up much like the one used in Google Calendar where the user can see the whole month at once. Plus, it can be very useful to add an option where tasks are set up where they repeat even if the user has missed a deadline for a previous one. I'm a college student and I like to see what sorts of homework I have done and which ones I have missed.",Positive,10,Calendar integration,15.937621,6.152559
"MS To Do is practically USELESS! Restricting access solely to MS account holders severely limits any ability to coordinate tasks/punch lists with non MS users (ie. customers, collaborators, vendors). It is inconvenient and UNNECESSARY to require the creation of a MS account in order to use an app that was previously available universally (as Wunderlist). This restriction was intentionally added. Who's genius idea was this?",Negative,0,Task management,12.407886,5.1351867
"When I checklist Today's note, automatically Overdue's Note checked too?? what's wrong..??",Negative,4,Reminders & notifications,14.419971,6.318288
"I really liked this app until they started forcing me to upgrade to premium. It asked me to update and I did, turned out it was rhe worst decision I've made. I saw the responses to other ratings like this and I understand why it was done but couldn't you keep SOME nice looking trees?! I really hope you consider this over and make some nice looking trees for the free-version users. I won't delete this app yet but if this doesn't improve it is almost guaranteed that I will delete this.",Negative,7,App stability & updates,8.312604,3.4512115
Just like wunderlist except worse !! Laggy update of list from one device to any.,Negative,0,Task management,12.29295,5.3520374
"It's a good app, looks polished and nice. Only problem I have is I have some tasks that repeat themselves even after I complete them, I've editted that they only come once a day but forever stay on the today tasks",Positive,8,General task/app praise,13.883484,5.4717765
"I absolutely loved this app, but for the last week or so I cannot scroll through the calendar function without it scrolling itself back up to the previous week. Horrendously annoying. If you could fix this that would be awesome as otherwise I would have given 5 stars...",Neutral,10,Calendar integration,15.769771,6.3405094
"Me gusta, apenas la estoy implementando en mi día a día",Positive,3,Ease of use,9.749888,0.22371443
it works. but WAY TOO EXPENSE and compkicated than most user will need. this free version has too many pieces missing and is just frustrating.,Negative,1,Premium / paywall friction,10.280378,2.909193
"Still exploring, sry",Neutral,3,Ease of use,12.831863,1.3669132
"Very fun app. Lots of customization and a very polished app. Some features are blocked unless you pay(calender and some icons). They aren't needed to enjoy the app though. Can't complain, it works great reminding and motivating me to get stuff done. :)",Positive,8,General task/app praise,12.914273,3.8193345
Best to do app ever,Positive,2,General positive,11.711103,2.5350099
Good app that I can use for putting all my appointments in. One problem is that the notifications I set to make sure it reminds me don't go off at all. (I have a Droid Turbo 2). If you guys could fix that. I will change to 5 stars.,Neutral,10,Calendar integration,15.156283,6.936271
Hard to use,Negative,3,Ease of use,13.544236,0.93486595
Good app. Let's you to add yearview which is unavailable in Google Calendar. I am using it for four years.,Positive,10,Calendar integration,16.15136,6.6990504
"Muy buena app, funciona bien y es muy simple e intuitiva. El único pero que le puedo poner es que cuando mando a mis compañeros de trabajo algún quehacer, no siempre llega la notificación",Positive,3,Ease of use,9.670618,0.22299187
"I used to love this app but they made the ads much more intrusive, taking over the full screen with countdown timers any time you do anything. I guess I'll go back the regular Google calendar app. Reply to developer: that'd be great if you remove the terrible ads. For now I'm uninstalling and checking out other calendar apps.",Negative,6,Ads friction,16.523014,8.124825
"@Microsoft you've made wunderlist worse, where is the comments feature on each task, that was a win for wunderlist and you just killed it",Negative,0,Task management,12.346486,5.527489
"Great idea, such a usefully app. We did have the ability to sync with our calendar. The widgets were super cute and looked amazing on my phone. However the alarm system isn't the best. I would have troubles switching it off because it wasn't in the notification bar and there was no popup for me to turn it off. If have to switch off my phone which was really irritating. Thank you.",Neutral,10,Calendar integration,16.062302,6.53425
"It was great before, but lately it sends notifications whenever it likes. It doesn't notify according to schedule anymore. And now, it doesn't notify at all.",Negative,4,Reminders & notifications,12.740931,7.6953387
It was fantastic until it started freezing every time I went to tasks. Is there a way to fix this?,Positive,0,Task management,12.362791,6.103933
Enjoy the app!,Positive,2,General positive,11.385313,2.053609
it's a nice app. it make my life displined,Neutral,2,General positive,12.543235,2.7211568
"The calendar is very good, but in the last month all holidays have disappeared, although the whole year that I have been using the free version, everything was fine. I would not like to change, but if you don't fix it, I will change the calendar ...",Neutral,10,Calendar integration,16.141876,7.4386115
"Granted, I just downloaded the app, but I have yet to find anything useful about it. Copy/pasting in and then reorganizing a basic task list took me about a half hour (seriously? No drag and drop?) and I haven't been able to figure out how to share a task list with someone else. If I can't share the task list, why is there an ""assigned to me"" toggle? Instructions on the MS website seem to be referencing a completely different version than the one I have. Utterly useless and frustrating.",Negative,0,Task management,13.040357,5.321605
can't edit or change anything,Negative,9,Sync & login issues,11.448117,5.198925
I have an issue of widget stretching. Are there any debugs?,Neutral,11,Widget issues,11.403834,7.1235642
"It's a very bad app because I changed the settings too , but the tree 🌲 would die everytime if I opened another app or turned off my phone",Negative,7,App stability & updates,8.189938,3.4264264
"Great for tracking and encouraging habits, good clean layout that lets you see at a glance the info you need.",Positive,5,Habit tracking,13.844867,3.0693266
"I liked this app, even paid for it, but uninstalled it today due to weird behavior. I see two other reviews here with a similar problem. The app will periodically launch itself, but it's just a black screen, and it creates a copy of my home screen - looks the same but frozen until I hit the close button, then the copy scrolls away and I can again use my phone. Just odd.",Negative,7,App stability & updates,11.09084,5.250093
"Fun and engaging way to track your goals and form better habits. I'm still not great at keeping up with it, but the app works well when I spend the time to pay attention to it.",Positive,8,General task/app praise,14.105857,3.669133
I have been using this application for 1 week. I am giving five stars to this application because after downloading this application I am getting my work done on time. I have benefited a lot from this application. People who want to do their work at certain times and change their lives. Do download this application.❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,Positive,8,General task/app praise,13.380914,2.9693851
